Name,Description,List
PB14 - Build Backend Project Configuration,"Point estimate: 2. Configure the ASP.NET Core API, database connection, environment variables, dependency setup, and application startup behavior.",Product Backlog
PB15 - Implement Authentication and Password Policy,"Point estimate: 3. Configure ASP.NET Identity login with the class-required password policy, lockout behavior, JWT token handling, and secure authentication flow.",Product Backlog
PB16 - Implement Role-Based Access Control,"Point estimate: 3. Enforce authorization so Admin can create, update, and delete data, Employee has restricted access, and Donor only sees donor-appropriate data.",Product Backlog
PB17 - Build User and Seed Account Setup,"Point estimate: 2. Create seeded Admin, Employee, and Donor accounts for testing and grading, and make sure roles are correctly assigned and demonstrated.",Product Backlog
PB18 - Build Public Landing Page,"Point estimate: 3. Create a polished public homepage that introduces the mission, builds trust, and gives users clear next steps such as viewing impact or signing in.",Product Backlog
PB19 - Build Public Impact Dashboard,"Point estimate: 3. Create a public-facing dashboard showing anonymized, aggregated impact data in a clear, donor-friendly format.",Product Backlog
PB20 - Build Login Experience,"Point estimate: 3. Implement the login page with validation, helpful error handling, session behavior, and appropriate redirects for authenticated users.",Product Backlog
PB21 - Build Privacy Policy and Cookie Consent,"Point estimate: 2. Publish a privacy policy tailored to the project and implement a functional cookie consent experience consistent with course expectations.",Product Backlog
PB22 - Build Shared Frontend Layout and Navigation,"Point estimate: 3. Create consistent layout components, navigation, footer, protected route handling, and app-wide styling so the experience feels unified.",Product Backlog
PB23 - Build Admin Dashboard,"Point estimate: 3. Create a command-center dashboard for staff and admins showing high-level operational metrics such as active residents, donation activity, and upcoming case work.",Product Backlog
PB24 - Build Donor and Supporter CRM,"Point estimate: 5. Allow staff to search, view, create, edit, and manage supporter records across donor and supporter types, including active and inactive status.",Product Backlog
PB25 - Build Contribution Tracking,"Point estimate: 5. Support recording and reviewing monetary, in-kind, time, skill-based, and advocacy contributions tied to supporters.",Product Backlog
PB26 - Build Donation Allocation Tracking,"Point estimate: 3. Show how donations are allocated across safehouses and program areas so leadership can connect giving to operational outcomes.",Product Backlog
PB27 - Build Donor Portal,"Point estimate: 3. Provide donors with access to their own giving history and an anonymized summary of the impact their support contributes to.",Product Backlog
PB28 - Build Resident Intake and Profile Management,"Point estimate: 5. Implement resident records with demographic, case, family, referral, admission, and reintegration fields aligned to the case requirements.",Product Backlog
PB29 - Build Searchable Caseload Inventory,"Point estimate: 5. Provide staff with filtering and searching tools for residents based on status, safehouse, case category, risk, and social worker assignment.",Product Backlog
PB30 - Build Process Recording Module,"Point estimate: 5. Implement chronological counseling session entry and review, including emotional states, interventions, narrative summaries, and follow-up actions.",Product Backlog
PB31 - Build Home Visitation Module,"Point estimate: 5. Support entry and review of home visit details such as visit type, observations, family cooperation, safety concerns, and follow-up needs.",Product Backlog
PB32 - Build Case Conference Tracking,"Point estimate: 3. Record case conference history, upcoming conferences, and decisions related to resident planning and progress.",Product Backlog
PB33 - Build Reports and Analytics,"Point estimate: 5. Create aggregated operational reports for donations, resident outcomes, safehouse comparisons, service delivery, and reintegration trends.",Product Backlog
PB34 - Add OKR Metric to the App,"Point estimate: 2. Select one meaningful success metric, display it in the application, and explain why it best represents value for the organization.",Product Backlog
PB35 - Build Social Media Analytics,"Point estimate: 4. Analyze social media post performance, engagement, donation referrals, and campaign effectiveness to support smarter outreach decisions.",Product Backlog
PB36 - Build ML Notebook Pipelines,"Point estimate: 5. Create the required Jupyter notebooks for donor, resident, outreach, and forecasting insights using the provided and derived data.",Product Backlog
PB37 - Export ML Predictions for App Use,"Point estimate: 3. Generate prediction outputs from the notebooks in a consistent format that can be imported into the application.",Product Backlog
PB38 - Build ML Import and API Support,"Point estimate: 3. Create or finalize backend support for importing ML outputs, storing predictions, and exposing them through secure API endpoints.",Product Backlog
PB39 - Build ML Insights and Action Center Pages,"Point estimate: 3. Display ML results in the app so staff can review prediction types, risks, and suggested next actions in a usable format.",Product Backlog
PB40 - Implement Input Validation and Error Handling,"Point estimate: 3. Validate user input on the frontend and backend and ensure the app fails gracefully with helpful, safe error messages.",Product Backlog
PB41 - Implement Delete Confirmation and Data Integrity Safeguards,"Point estimate: 2. Require confirmation before deletions, protect restricted operations, and ensure that changes to sensitive data only happen through authorized workflows.",Product Backlog
PB42 - Implement Secrets and Credential Safety,"Point estimate: 2. Keep secrets out of source control, configure environment variables correctly, and document safe credential handling practices for the team.",Product Backlog
PB43 - Verify HTTPS and HTTP-to-HTTPS Security,"Point estimate: 2. Ensure deployed services use TLS correctly and redirect insecure traffic to HTTPS as required by the grading rubric.",Product Backlog
PB44 - Improve Accessibility Across All Pages,"Point estimate: 3. Fix semantics, labels, contrast, keyboard access, and screen-reader usability so every page can reach the required Lighthouse accessibility score.",Product Backlog
PB45 - Improve Mobile Responsiveness Across All Pages,"Point estimate: 3. Make every page resize and function well across desktop and mobile layouts, including forms, tables, navigation, and dashboards.",Product Backlog
PB46 - Test Core User Flows End-to-End,"Point estimate: 3. Verify that public users, admins, employees, and donors can complete their key tasks successfully in the deployed environment.",Product Backlog
"PB47 - Deploy Database, API, and Frontend","Point estimate: 5. Deploy the relational database, ASP.NET backend, and React frontend to the cloud and confirm that environment variables and connectivity work correctly.",Product Backlog
"PB48 - Prepare Screenshots, Evidence, and Video Proof","Point estimate: 3. Collect screenshots, security evidence, page demos, deployment proof, and other artifacts needed to clearly show completion in the grading videos.",Product Backlog
PB49 - Gather User Feedback and Iterate,"Point estimate: 2. Show the current product to a real user, record at least five actionable pieces of feedback, and make targeted improvements based on what is learned.",Product Backlog
PB50 - Complete Final Retrospective and Submission Prep,"Point estimate: 2. Finish the retrospective, summarize team contributions, confirm deliverables are complete, and prepare the repo, links, and presentation materials for submission.",Product Backlog
PB51 - Create Tech Stack Diagram,"Point estimate: 1. Build the required frontend, backend, and database architecture diagram with the chosen technology logos for the Tuesday deliverable.",Product Backlog
PB52 - Capture UI Exploration Evidence,"Point estimate: 3. Save three screenshots of each of three UI design options, record five AI feedback questions for each, summarize the takeaways, and document the chosen direction.",Product Backlog
PB53 - Capture Sprint and Page Screenshot Evidence,"Point estimate: 2. Collect sprint backlog screenshots for each day and current-state screenshots of at least five pages in both desktop and mobile views.",Product Backlog
PB54 - Prepare Security and Feature Video Checklist,"Point estimate: 2. Create a checklist so the final video clearly demonstrates HTTPS, redirects, auth, RBAC, delete confirmation, privacy and cookie behavior, deployed pages, and ML integration.",Product Backlog
PB55 - Deliver One Working Deployed Page,"Point estimate: 3. Ensure at least one page is fully deployed to the cloud and persists real data to the database for the Wednesday milestone.",Product Backlog
